What are the five combined categories used to organize the 2026 AI tools landscape?,"Chat, Notes & Voice, Image & Video, Automation & Code, and Agentic Frontier."
How is the 'Highest' AI/Agentic Level defined in the landscape?,"A true agent that plans multi-step work, executes it, and recovers from errors."
What is the industry-wide open standard that allows AI agents to plug into tools and files?,Model Context Protocol (MCP).
"In the 'Captain's Call' tiering system, what does the 'S' classification represent?",Essential tools that every captain should run daily.
"In the 'Captain's Call' tiering system, what does the 'A' classification represent?",Recommended tools to add once the Essential set is established.
"In the 'Captain's Call' tiering system, what does the 'B' classification represent?",Deeper tools for when a user is going further in their AI journey.
"In the 'Captain's Call' tiering system, what does the 'C' classification represent?",Specialty tools built for specific tasks that should be picked only if needed.
What is the primary differentiator for Anthropic's Claude compared to other general-purpose assistants?,"Cowork mode, which runs agentic workflows on the desktop or mobile."
Which OpenAI tool is specifically designed to handle computer-use tasks?,ChatGPT Agent (formerly known as Operator).
Under what circumstance does Gemini become 'essential' for a captain?,When their ministry or business work is natively hosted in Google Workspace.
What is the primary use case for xAI's Grok tool?,Accessing real-time X data and an unfiltered conversational style.
Which search-first AI tool is characterized by its built-in citations and agentic browser?,Perplexity.
What is the primary advantage of DeepSeek for 'cost-sensitive captains'?,It provides frontier-class reasoning models at zero cost in its web app.
What transcription model is used under the hood by most industry-leading audio tools?,OpenAI Whisper.
On which operating systems does Apple Voice Memos provide on-device transcription via Apple Intelligence?,iOS 18+ and macOS 18+ on recent devices.
Which image generation tool is recommended for the best aesthetic quality for stylized images?,Midjourney.
For which user group is the Stable Diffusion/FLUX.1 stack most recommended?,"Technical captains who want full control, local privacy, and no per-image costs."
What pairing allows for AI-powered search across local Markdown files in Obsidian?,Smart Connections or the Copilot plugin.
What distinguishes the Granola tool from a raw recorder like Otter.ai?,"It generates clean, structured meeting notes by listening to audio context rather than just transcribing."
Which free Google tool allows users to Q&A across uploaded document sets and generate natural audio summaries?,NotebookLM.
Why is Claude considered the default primary tool for the bootcamp?,Because its native agentic Cowork mode allows it to act as an adjutant on the user's machine.
"Which tool acts as the 'granddaddy of automation' with over 7,000 app integrations?",Zapier.
What is the primary reason a technical captain would choose n8n over Zapier?,To achieve data sovereignty and full control through self-hosting.
What is the core function of the Claude Code terminal agent?,"It autonomously reads repos, writes code, runs tests, and opens PRs under supervision."
What distinguishes Cursor from standard coding environments?,It is an AI-first fork of VS Code with baked-in autocomplete and multi-file editing agents.
"Which open-source pair programmer is 'model-agnostic,' allowing users to bring their own API key?",Aider.
When is the HeyGen AI avatar tool considered worth the investment for a captain?,Only when producing high-volume course or sales content at a scale that cannot be physically filmed.
What is the primary function of Lovable.dev?,Generating full-stack web apps (React + Tailwind) from natural-language prompts.
Which autonomous web agent is noted for its ability to research topics and synthesize documents independently?,Manus.
What is Perplexity Comet?,An AI-powered agentic browser included with Perplexity Pro.
Which open-source tool allows a user to run Python code on local files via natural language commands?,Open Interpreter.
"If a captain needs to draft a sermon or blog post, why is Claude the recommended choice?",It offers the best long-context reasoning and links study files via Cowork.
What tool combination is recommended for creating print-quality flyer artwork?,Ideogram for text-in-image and Magnific for upscaling to print quality.
Which free tool is recommended for 'cleaning up' a low-quality phone-mic recording?,Adobe Podcast Enhance.
What tool is the 'Winner' for auto-clipping long videos into short-form content for social media?,OpusClip.
Which tool should be used for buying back time on email if the workflow lives in a desktop app?,Claude Cowork (local).
What is the 'Captain's Redline' regarding pastoral or counseling notes?,Never paste confidential conversations into cloud LLMs; use encrypted notes or paper.
Why are children's health records considered a redline for cloud LLMs?,"Sensitive medical data like diagnoses and medication regimens belong in secure portals, not LLMs."
What financial information is explicitly forbidden from being pasted into AI tools?,"Account numbers, routing numbers, and balances tied to specific identifiers."
What is the rule regarding 'Marriage Confidences' in AI usage?,"Never paste specific quotes, intimate context, or anything shared without a spouse's consent."
"Which security credentials should never be entered into AI, even if the tool promises privacy?","SSNs, passport numbers, API keys, and passwords."
How should a captain handle 'Other People's Private Info' when seeking advice from an AI?,Abstract the situation rather than including names and specific identifiable details.
What is the general 'rule of thumb' for determining if information belongs in a cloud LLM?,"If losing the data through a breach or training pipeline would be a serious problem, do not upload it."
What alternative is recommended for processing redline data that cannot go to the cloud?,Moving the task to a local model on a 'Sovereign Stack.'
Which tools comprise the 'Minimum Viable' stack for a captain starting with AI?,"Claude (free), Apple Voice Memos, Perplexity (free), NotebookLM, and Suno (free)."
What is the approximate monthly cost of the 'Solo Founder' stack?,$\$40$ to $\$60$ per month.
Which specific tool is added to the 'Solo Founder' stack to handle hands-off tasks and image generation?,ChatGPT Plus.
For whom is the 'Power User' stack ($150-200/mo) specifically designed?,Captains who are already shipping 5 or more hours of content per week.
"In the 'Power User' stack, which tool is recommended for high-end voice generation?",ElevenLabs.
Which tool in the 'Power User' stack is specifically for podcast and video editing?,Descript.
What is the recommended tool for shipping a working web app over a single weekend without coding knowledge?,Lovable.dev or Bolt.new.
Term: Redundancy check,Definition: An assessment of whether a new tool overlaps too heavily with one already in the captain's stack.
Why is ChatGPT Plus ($20/mo) recommended as a secondary tool alongside Claude Pro?,It provides a 'sanity-check' second opinion and superior image generation capabilities.
What is the 'Captain's Call' for Grok?,Skip it as a primary tool unless you are a heavy X user or want a contrarian second take.
Which tool is the recommended 'Winner' for custom intro music for media projects?,Suno.
At what frequency does the 'AI Tools Landscape' refresh its pricing and product snapshots?,Every 6 months.